countyname,2016,2017,2018,2019
ABBEVILLE                                                                  ,1470,3912,3675,1559
AIKEN                                                                      ,9794,23915,23526,12065
ALLENDALE                                                                  ,400,2105,826,559
ANDERSON                                                                   ,14535,44273,37769,17437
BAMBERG                                                                    ,500,1603,2676,626
BARNWELL                                                                   ,797,2084,2806,806
BEAUFORT                                                                   ,18675,45375,38897,19210
BERKELEY                                                                   ,15471,36579,40620,18390
CALHOUN                                                                    ,1492,1642,1823,945
CHARLESTON                                                                 ,33531,80570,89938,39689
CHEROKEE                                                                   ,2702,9966,11549,5512
CHESTER                                                                    ,1311,3546,4224,1657
CHESTERFIELD                                                               ,1343,3886,4607,2446
CLARENDON                                                                  ,1744,3772,3462,2216
COLLETON                                                                   ,5634,6998,4987,2599
DARLINGTON                                                                 ,2713,6855,7442,3037
DILLON                                                                     ,1470,5497,5211,2048
DORCHESTER                                                                 ,9620,19614,22209,9966
EDGEFIELD                                                                  ,1434,3603,3170,2144
FAIRFIELD                                                                  ,787,2340,2580,864
FLORENCE                                                                   ,11071,26258,19962,10666
GEORGETOWN                                                                 ,4174,11108,11741,5643
GREENVILLE                                                                 ,45829,114894,113130,49245
GREENWOOD                                                                  ,2879,12728,12771,5569
HAMPTON                                                                    ,705,3525,1665,1177
HORRY                                                                      ,19816,51181,56657,27443
JASPER                                                                     ,1704,6236,8252,4069
KERSHAW                                                                    ,4814,13600,14414,5975
LANCASTER                                                                  ,5627,15830,18309,9243
LAURENS                                                                    ,5301,16596,15951,5772
LEE                                                                        ,642,2208,2346,1257
LEXINGTON                                                                  ,19264,49491,57093,24484
MARION                                                                     ,1736,3709,3901,1978
MARLBORO                                                                   ,877,2332,2167,848
MCCORMICK                                                                  ,482,1776,1405,709
NEWBERRY                                                                   ,2371,7085,7435,3250
OCONEE                                                                     ,5479,15862,16501,8055
ORANGEBURG                                                                 ,3940,11424,10173,3848
PICKENS                                                                    ,8136,24798,28690,14921
RICHLAND                                                                   ,27295,61724,68445,35073
SALUDA                                                                     ,668,2306,3223,909
SPARTANBURG                                                                ,25331,66072,68702,32768
SUMTER                                                                     ,4193,11252,14145,6490
UNION                                                                      ,1276,3844,2776,1237
WILLIAMSBURG                                                               ,2797,5718,5221,3942
YORK                                                                       ,18214,46366,51365,22572
